Week_Date,Carrier_Name,Forecasted_Passengers,Lower_Bound_95,Upper_Bound_95,Year,Month
2026-10-11,Coach USA,6385.081682320832,3785.2484425856683,8984.914922055996,2026,10
2026-10-18,Coach USA,7121.307937726466,4491.413784148004,9751.202091304927,2026,10
2026-10-25,Coach USA,6643.890435170701,3984.2751164412675,9303.505753900134,2026,10
2026-11-01,Coach USA,7247.430838046739,4558.422837275009,9936.438838818469,2026,11
2026-11-08,Coach USA,7326.35365444442,4608.270798310619,10044.43651057822,2026,11
2026-11-15,Coach USA,7396.843912031353,4649.99393480242,10143.693889260287,2026,11
2026-11-22,Coach USA,7314.87029061383,4539.551357230372,10090.189223997288,2026,11
2026-11-29,Coach USA,7237.211615574847,4433.712807551058,10040.710423598637,2026,11
2026-12-06,Coach USA,7223.650886323284,4392.252653791358,10055.04911885521,2026,12
2026-12-13,Coach USA,7474.201584401602,4615.1761672744615,10333.227001528743,2026,12
2026-12-20,Coach USA,6777.57786568576,3891.189686598767,9663.966044772753,2026,12
2026-12-27,Coach USA,7509.892933903459,4596.398965320851,10423.386902486069,2026,12
2027-01-03,Coach USA,7297.7598653052055,4357.409972935022,10238.10975767539,2027,1
2027-01-10,Coach USA,7407.587220472984,4440.624484920774,10374.549956025194,2027,1
2027-01-17,Coach USA,7248.311198276676,4254.972216679443,10241.650179873908,2027,1
2027-01-24,Coach USA,7270.511636939455,4251.026806153966,10289.996467724943,2027,1
2027-01-31,Coach USA,6955.736415723381,3910.3301984942605,10001.1426329525,2027,1
2027-02-07,Coach USA,7677.160636095205,4606.051811495874,10748.269460694535,2027,2
2027-02-14,Coach USA,7331.3796725483,4234.781571869751,10427.977773226849,2027,2
2027-02-21,Coach USA,7352.820164646351,4230.94089380321,10474.699435489492,2027,2
2027-02-28,Coach USA,7160.626875832352,4013.669525261136,10307.584226403567,2027,2
2027-03-07,Coach USA,7377.775034993274,4205.937877932982,10549.612192053566,2027,3
2027-03-14,Coach USA,7535.216726877293,4338.693406846229,10731.740046908357,2027,3
2027-03-21,Coach USA,7469.744161078114,4248.723869292214,10690.764452864016,2027,3
2027-03-28,Coach USA,7278.7770671551425,4033.4447105712075,10524.109423739077,2027,3
2027-04-04,Coach USA,7512.920857597156,4243.457218208465,10782.384496985847,2027,4
2027-04-11,Coach USA,6759.3615969518005,3465.9434829130055,10052.779710990595,2027,4
2027-04-18,Coach USA,7582.826002935713,4265.626392048096,10900.02561382333,2027,4
2027-04-25,Coach USA,7542.514523251646,4201.702699298213,10883.326347205078,2027,4
2027-05-02,Coach USA,7605.787128189809,4241.5288105719155,10970.045445807702,2027,5
2027-05-09,Coach USA,7516.15146137378,4128.608928466587,10903.693994280973,2027,5
2027-05-16,Coach USA,7604.3822079577,4193.714414570401,11015.050001345,2027,5
2027-05-23,Coach USA,7528.8230440642365,4095.1857333624357,10962.460354766037,2027,5
2027-05-30,Coach USA,7692.807245625664,4236.353055847127,11149.261435404202,2027,5
2027-06-06,Coach USA,7865.020196674426,4385.898762945544,11344.141630403308,2027,6
2027-06-13,Coach USA,7904.624125373705,4402.982176912121,11406.26607383529,2027,6
2027-06-20,Coach USA,7846.516075016191,4322.497527984994,11370.534622047388,2027,6
2027-06-27,Coach USA,7711.179735821844,4164.925782080646,11257.43368956304,2027,6
2027-07-04,Coach USA,8079.045291441597,4510.694483410148,11647.396099473048,2027,7
2027-07-11,Coach USA,8058.5473740136,4468.235704771231,11648.859043255969,2027,7
2027-07-18,Coach USA,7769.655644195239,4157.516596095367,11381.79469229511,2027,7
2027-07-25,Coach USA,7922.963732583693,4289.127261482722,11556.800203684663,2027,7
2027-08-01,Coach USA,7973.121994315522,4317.680271927637,11628.563716703407,2027,8
2027-08-08,Coach USA,8016.528261831232,4258.780634614369,11774.275889048095,2027,8
2027-08-15,Coach USA,7874.371818806597,4075.7228847018814,11673.020752911312,2027,8
2027-08-22,Coach USA,7254.556676654637,3414.045136977017,11095.068216332256,2027,8
2027-08-29,Coach USA,6670.1579602570055,2788.45633209726,10551.859588416752,2027,8
2027-09-05,Coach USA,7635.054688926945,3712.58322370492,11557.52615414897,2027,9
